"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Reported cases","N","2015","IT","Italy",18.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","LV","Latvia",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","NL","Netherlands",24.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","SE","Sweden",23.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2015","UK","United Kingdom",106.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","AT","Austria",9.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","BE","Belgium",29.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","CZ","Czechia",7.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","DE","Germany",74.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","EL","Greece",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","ES","Spain",105.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","EU_EEA31","EU/EEA",488.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","EU28","EU",488.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","FR","France",42.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","HU","Hungary",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","IT","Italy",17.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","MT","Malta",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","NL","Netherlands",7.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","PT","Portugal",3.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","SE","Sweden",20.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","SI","Slovenia",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2016","UK","United Kingdom",169.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","AT","Austria",5.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","BE","Belgium",10.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","DE","Germany",33.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","ES","Spain",51.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","EU_EEA31","EU/EEA",546.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","EU28","EU",546.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","FI","Finland",5.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","FR","France",35.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","HU","Hungary",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","IT","Italy",289.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","NL","Netherlands",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","SE","Sweden",13.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2017","UK","United Kingdom",104.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","AT","Austria",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","BE","Belgium",3.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","CZ","Czechia",6.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","DE","Germany",26.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","EL","Greece",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","ES","Spain",27.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","EU_EEA31","EU/EEA",170.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","EU28","EU",170.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","FI","Finland",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","FR","France",16.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","HU","Hungary",3.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","IT","Italy",4.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","NL","Netherlands",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","PT","Portugal",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","RO","Romania",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","SE","Sweden",20.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","SI","Slovenia",0.000000000,""
